flat,supermarket_dist,num_supermarket_2km
534 JURONG WEST ST 52,0.3877203008927715,11
133 LOR AH SOO,0.4767054986424724,12
147 SIMEI ST 2,0.4405784258914516,17
419 BEDOK NTH ST 1,0.2922418936020603,21
832 YISHUN ST 81,0.14463351059157953,13
789 CHOA CHU KANG NTH 6,0.3193246783217951,10
405 PASIR RIS DR 6,0.5878118631504231,9
913 HOUGANG ST 91,0.4416237248851214,17
573 PASIR RIS ST 53,0.4559451941554208,10
690 JURONG WEST CTRL 1,0.21071354980161175,11
507 PASIR RIS ST 52,0.3604025213492061,8
666 WOODLANDS RING RD,0.2657150015950873,14
28 JLN BAHAGIA,0.1661169243645125,29
355A SEMBAWANG WAY,0.026381711103831623,13
360 YISHUN RING RD,0.3588568002075451,17
803 TAMPINES AVE 4,0.5418863973805653,22
779 WOODLANDS CRES,0.12588779785933396,16
652 HOUGANG AVE 8,0.19966118495538102,19
161 BT MERAH CTRL,0.20588915731519628,17
243 TAMPINES ST 21,0.23038070991914786,16
134 GEYLANG EAST AVE 1,0.2120972971837329,27
426 CHOA CHU KANG AVE 4,0.25456459620942434,10
536 PASIR RIS DR 1,0.201361019877936,14
912 HOUGANG ST 91,0.43270364994188315,18
665B JURONG WEST ST 64,0.2675002564530605,9
135 YISHUN ST 11,0.3940237649151695,18
402 BEDOK NTH AVE 3,0.3407112681957095,18
523 JURONG WEST ST 52,0.41226610258809254,11
416 TAMPINES ST 41,0.3898143859242925,18
212 ANG MO KIO AVE 3,0.24827385510602265,14
891A WOODLANDS DR 50,0.4663338430093675,15
874 TAMPINES ST 84,0.3245118340462256,10
7 BOON KENG RD,0.5970834765730492,28
431 HOUGANG AVE 6,0.3534638649489938,16
426 HOUGANG AVE 6,0.1407898303871906,16
579 WOODLANDS DR 16,0.17877697859421304,10
32 BEDOK STH AVE 2,0.40811608576849995,20
164 JLN TECK WHYE,0.37930570760615234,18
35 MARINE CRES,0.40062105318812924,11
562 ANG MO KIO AVE 3,0.6228693617121477,13
479 SEGAR RD,0.3822675683328532,8
232A SERANGOON AVE 2,0.25800526928081563,10
133 EDGEDALE PLAINS,0.3018762726752903,14
78 BEDOK NTH RD,0.34282438631081963,17
14 REDHILL CL,0.21902953334168573,18
220 PETIR RD,0.3422970535397014,10
248 YISHUN AVE 9,0.37631077594624085,14
408 WOODLANDS ST 41,0.3120472210772072,6
41 JLN BAHAGIA,0.28616902588072324,22
984B BUANGKOK LINK,0.19997009058524395,20
864 TAMPINES ST 83,0.1626729190542241,12
