flat,school,school_dist,num_school_2km
871 YISHUN ST 81,Naval Base Primary School,0.3810617698240268,5
631 JURONG WEST ST 65,West Grove Primary School,0.2246065790322318,9
269A PUNGGOL FIELD,Punggol Green Primary School,0.15033734170011379,16
118 LOR 1 TOA PAYOH,Kheng Cheng School,0.3982971198866097,9
349 YISHUN AVE 11,Huamin Primary School,0.1319769693354736,11
405 BT BATOK WEST AVE 7,Dazhong Primary School,0.8026464792758875,6
301 CLEMENTI AVE 4,Nan Hua Primary School,0.468365427958901,5
2 EAST COAST RD,Opera Estate Primary School,0.8917863648213471,3
682 RACE COURSE RD,Farrer Park Primary School,0.563092244394689,5
115 JURONG EAST ST 13,Fuhua Primary School,0.3964617067378373,7
602 YISHUN ST 61,Northland Primary School,0.5179772269557901,11
419 ANG MO KIO AVE 10,Teck Ghee Primary School,0.3475498480505811,11
989B JURONG WEST ST 93,Frontier Primary School,0.5458443259494902,7
299A TAMPINES ST 22,Angsana Primary School,0.29780530975580527,10
628 YISHUN ST 61,Naval Base Primary School,0.28542707291000746,10
211A COMPASSVALE LANE,North Vista Primary School,0.4259237299369798,18
272A PUNGGOL WALK,Punggol Green Primary School,0.2575880307138509,15
303A ANCHORVALE LINK,Palm View Primary School,0.3613630171267507,19
119 ANG MO KIO AVE 3,Ang Mo Kio Primary School,0.6317651792362404,10
705 WOODLANDS DR 40,Evergreen Primary School,0.51774016544184,10
101 C'WEALTH CRES,New Town Primary School,0.916383775454477,5
270 TAMPINES ST 21,Chongzheng Primary School,0.3073418180140144,10
305 UBI AVE 1,Maha Bodhi School,0.12024291070976212,5
276 CHOA CHU KANG AVE 2,Chua Chu Kang Primary School,0.34072879467327116,7
4 TECK WHYE AVE,Teck Whye Primary School,0.20384989225099118,11
9 TOH YI DR,Pei Hwa Presbyterian Primary School,0.29607509151094136,2
112 SERANGOON NTH AVE 1,Rosyth School,0.5368220246415638,7
804 KING GEORGE'S AVE,Stamford Primary School,0.5640608781788293,4
